case,prior,old_sigma_k,qualified_sigma_k,oracle_sigma_k,qualified_relative_error,old_overconfidence_factor,sigma_k_over_k_truth
G0,data_only,0.0034688695056067755,0.9040175567876826,0.9040175567875425,1.5498608921444069e-13,260.6086955206496,90.40175567876825
G0,broad_k_sigma_1.0,0.0034688695056067755,0.6706096457816172,0.67060964578156,8.526045834243764e-14,193.322246541026,67.06096457816172
G0,moderate_k_sigma_0.01,0.0034688695056067638,0.009999388246558948,0.009999388246558948,0.0,2.8826072097543163,0.9999388246558948
G1,data_only,0.0016448102376950182,0.019394564345071103,0.019394564345072467,7.03028244335991e-14,11.791368937641924,1.9394564345071104
G1,broad_k_sigma_1.0,0.0016448102376950182,0.019390917749571558,0.019390917749572925,7.049496659846492e-14,11.78915190651215,1.9390917749571557
G1,moderate_k_sigma_0.01,0.0016448102376950167,0.008888091825819375,0.008888091825819507,1.4833215808060287e-14,5.403718691753152,0.8888091825819375
G3,data_only,0.0005240157111492812,0.005329810001976447,0.005329810001976547,1.8877588801353587e-14,10.17108817269449,0.5329810001976446
G3,broad_k_sigma_1.0,0.0005240157111492812,0.005329734301966907,0.005329734301967007,1.8715116780184265e-14,10.170943711358829,0.5329734301966907
G3,moderate_k_sigma_0.01,0.0005240157111492812,0.004703461458807314,0.004703461458807384,1.493714818168723e-14,8.975802363810168,0.4703461458807314
