case,prior,qr_sigma_k,exact_sigma_k,floored_sigma_k,qr_rel_error_sigma_k,floored_rel_error_sigma_k,qr_rel_error_full_covariance,qr_rel_error_k_state_terms,qr_rel_error_state_sigmas,qr_rank_estimate,qr_smallest_abs_diag_r,cond_design
G0,data_only,0.9040175567876826,0.9040175567875425,0.0034688695056067755,1.5498608921444069e-13,0.9961628294942263,6.742695980238652e-12,1.8594127584927005e-12,3.3712448073015257e-12,7,0.011061732070263983,2606086955.2069345
G0,broad_k_sigma_1.0,0.6706096457816172,0.67060964578156,0.0034688695056067755,8.526045834243764e-14,0.9948272895753475,6.593262332347466e-12,1.3959079449476752e-12,3.2965640605115052e-12,7,0.014911804598850763,1933222465.4104505
G0,moderate_k_sigma_0.01,0.009999388246558948,0.009999388246558948,0.0034688695056067638,0.0,0.6530918272124804,6.406786436451436e-12,2.1223614830780437e-14,3.2034727217088832e-12,7,1.0000611790867568,28826072.097543485
G1,data_only,0.019394564345071103,0.019394564345072467,0.0016448102376950182,7.03028244335991e-14,0.9151922049688673,1.598530139307192e-13,1.598530139307192e-13,5.4901531434548044e-14,7,0.51560838501337,117913689.37641399
G1,broad_k_sigma_1.0,0.019390917749571558,0.019390917749572925,0.0016448102376950182,7.049496659846492e-14,0.9151762562795025,1.598079855306788e-13,1.598079855306788e-13,5.469586579034188e-14,7,0.5157053487177495,117891519.06511626
G1,moderate_k_sigma_0.01,0.008888091825819375,0.008888091825819507,0.0016448102376950167,1.4833215808060287e-14,0.8149422542061372,5.182740367776145e-14,5.182740367776145e-14,3.4759392643233056e-15,7,1.1251008873412622,54037186.91753212
G3,data_only,0.005329810001976447,0.005329810001976547,0.0005240157111492812,1.8877588801353587e-14,0.9016821029351982,6.813152119792195e-14,5.6440531083478987e-14,3.4009152606143964e-14,7,1.876239490017789,101710881.72694439
G3,broad_k_sigma_1.0,0.005329734301966907,0.005329734301967007,0.0005240157111492812,1.8715116780184265e-14,0.901680706493026,6.795993220813794e-14,5.6584776471163946e-14,3.400926778211462e-14,7,1.8762661388785475,101709437.11358781
G3,moderate_k_sigma_0.01,0.004703461458807314,0.004703461458807384,0.0005240157111492812,1.493714818168723e-14,0.8885893472842125,5.939307152539721e-14,4.778385682598966e-14,2.972185044418654e-14,7,2.12609374767488,89758023.63810158
