case,qr_sigma_k,schur_sigma_k,relative_error,passes
range_only_W15,0.0009273513250655349,0.000927351325065514,2.25643737851908e-14,True
range_plus_ddor_5nrad,0.0004927158430502491,0.0004927158430502489,4.4009227134794354e-16,True
range_plus_landmark_30urad,0.0004631721913779938,0.00046317219137799405,5.852046996063548e-16,True
