case,exact_sigma_k,batch_qr_sigma_k,sequential_srif_sigma_k,shipped_sqrt_sigma_k,floored_sigma_k,qr_relative_error,srif_relative_error,qr_full_covariance_error,srif_full_covariance_error,srif_k_state_cross_error,qr_vs_srif_cross_error
G0,0.9040175567875425,0.9040175567876826,0.9040175567874954,0.003468869505607682,0.0034688695056067755,1.5498608921444069e-13,5.2071396059368347e-14,6.742695980238652e-12,2.560676606919527e-12,7.193981745169399e-13,9.282973945164863e-12
G1,0.019394564345072467,0.019394564345071103,0.019394564345069767,0.001644810237701384,0.0016448102376950182,7.03028244335991e-14,1.391745481153692e-13,1.598530139307192e-13,1.5784158087687341e-12,1.750270638414166e-13,1.681890213058408e-12
G3,0.005329810001976547,0.005329810001976447,0.005329810001975549,0.0005240157111477732,0.0005240157111492812,1.8877588801353587e-14,1.8731124750308603e-13,6.813152119792195e-14,3.9515534262379894e-13,3.9515534262379894e-13,3.3871481154031997e-13
