case,arc_orbits,conditional_k_information,weakest_k_component,sigma_k,k_estimate
G0,1.3,1.5212283447235677,0.9999999998485365,0.0034688484157318253,0.011995881747143836
G2,2.0,2658.508700783874,0.9999999937608572,0.0016448079813578963,0.011799924331532739
G3,3.0,9355.320954849944,0.9999999945081441,0.0009320606889056392,2.732793424886275e-07
G5,5.0,35202.68622017384,0.999999995543725,0.000524013029204094,1.5725340614943284e-07
