case,arc_orbits,observations,cond_design,cond_information,squaring_ratio,design_resolvable,information_resolvable,smallest_design_singular_value,smallest_information_eigenvalue,floor,floored_modes,floor_inflation,production_sigma_k,exact_sigma_k,schur_sigma_k,overconfidence_factor
G0,1.3,82,2606086955.2069345,6.79168941402893e+18,1.0000000288483724,True,False,0.011061732068588535,0.00012236191869979468,8.310441080294904,1,67916.89088076427,0.0034688695056067755,0.9040175567875425,0.904017529841848,260.6086955206496
G1,2.0,144,117913689.37641399,1.3903638115843098e+16,0.9999999980929922,True,False,0.5156083817964158,0.2658520009980242,36.963100543984886,1,139.03638266863973,0.0016448102376950182,0.019394564345072467,0.019394564407336955,11.791368937641924
G3,5.0,307,101710881.72694439,1.0345103473353988e+16,1.0000000011291832,True,False,1.8762394816567505,3.5202746031080654,364.1760487319483,1,103.45103430579414,0.0005240157111492812,0.005329810001976547,0.005329809996123831,10.17108817269449
