case,k_scale,qr_sigma_k,floored_sigma_k
G0,0.005,0.9040175567876826,0.001734434753000399
G0,0.01,0.9040175567876826,0.0034688695056067755
G0,0.02,0.9040175567876826,0.006937739008061356
G1,0.005,0.019394564345071103,0.0008224051226958206
G1,0.01,0.019394564345071103,0.0016448102376950182
G1,0.02,0.019394564345071103,0.0032896204138170367
G3,0.005,0.005329810001976447,0.0002620078564503223
G3,0.01,0.005329810001976447,0.0005240157111492812
G3,0.02,0.005329810001976447,0.0010480314082876546
