case,column,best_step,err_at_best,oracle_floor,model_to_oracle,passed,rel_err_step0,rel_err_step1,rel_err_step2,rel_err_step3,rel_err_step4
G0_consistent,x,2.0,2.2220109552632368e-06,1.7143220674202993e-07,12.961455711801602,False,2.3911400458039107e-06,2.2220109552632368e-06,2.5052772600639735e-06,2.7805971503736e-06,2.1626465646531816e-06
G0_consistent,y,2.0,1.4813827972206943e-06,5.489590604885513e-07,2.698530553266256,True,1.7149334387030268e-06,1.4813827972206943e-06,3.315405112943809e-06,2.131791088480484e-06,4.30796745463523e-06
G0_consistent,z,2.0,3.1251111494657187e-06,4.2929425894792907e-07,7.2796481302229035,True,3.1251111494657187e-06,3.541113049543776e-06,2.993331555852701e-06,2.2281678960005808e-06,3.8664724215095055e-06
G0_consistent,vx,0.002,1.4930677744528072e-06,1.156624098771282e-06,1.2908842000084038,True,1.4930677744528072e-06,2.6439145825563693e-06,3.130854531391732e-06,5.0571643937488935e-06,8.071926161708645e-06
G0_consistent,vy,0.002,2.1519295357118873e-06,1.0441165964448113e-07,20.610050094397014,False,2.2195583486336526e-06,2.1519295357118873e-06,2.2092333390272765e-06,3.022844096009735e-06,1.7705165859372957e-06
G0_consistent,vz,0.002,2.3504757279924998e-06,2.0979695931069083e-07,11.20357385405025,False,2.560128397785095e-06,2.3504757279924998e-06,2.826342558671082e-06,2.5752787971851108e-06,2.37673642028586e-06
G0_consistent,K,0.002,1.3273748722638557e-05,1.2911802340830789e-05,1.0280322120997152,True,1.3273748722638557e-05,2.5617581624325873e-05,4.909696760516094e-05,0.00011088107252348778,0.00011555196481773853
G1_b00,x,0.5,2.372006794839299e-06,3.161442914287252e-07,7.502924642794216,True,2.655663212654223e-06,1.8200324962599005e-06,2.4261177449894983e-06,2.372006794839299e-06,1.8590179445964615e-06
G1_b00,y,2.0,3.0189886342298287e-06,1.712758847563567e-06,1.7626466437609702,True,3.0189886342298287e-06,4.726007813033311e-06,1.4715615224076558e-06,1.8940343080089647e-06,1.1183400699069405e-05
G1_b00,z,2.0,9.689501235411816e-07,1.866058980284422e-06,0.5192494630547506,True,2.0467732760895975e-06,9.689501235411816e-07,2.2421932028457586e-06,4.61264997791706e-06,1.233115600349747e-05
G1_b00,vx,0.002,5.710699787844457e-06,1.25871199155528e-06,4.536939209412191,True,5.751872609998134e-06,5.710699787844457e-06,4.3718839096899125e-05,9.732416881227392e-06,1.3496789192420753e-05
G1_b00,vy,0.002,2.336538395435566e-06,2.4989317457105754e-07,9.350148916416952,True,2.57342343215224e-06,2.336538395435566e-06,2.14757807712978e-06,2.3392769507733307e-06,5.002978442639435e-06
G1_b00,vz,0.002,2.3622172839818333e-06,1.6615536575145478e-07,14.216918444363575,False,2.491928194509502e-06,2.3622172839818333e-06,2.513605669671147e-06,2.23694131066047e-06,2.383502883280857e-06
G1_b00,K,0.002,8.769844645108557e-06,1.1731471510813653e-05,0.7475485608966298,True,8.769844645108557e-06,1.4112191194702565e-05,0.0002030191418951842,0.000115776649533077,0.0002836126823843616
G1_b88,x,2.0,6.761180102436882e-07,1.2723722181152362e-06,0.5313838204084818,True,6.761180102436882e-07,1.434944604429593e-06,2.9036475300541604e-06,6.012645314135659e-06,1.1913001905259873e-05
G1_b88,y,2.0,1.8849021343317751e-07,4.2359901619804915e-07,0.4449732086843444,True,1.8849021343317751e-07,3.9404362343812897e-07,7.742040188495314e-07,1.5516230578985294e-06,3.0713910294817876e-06
G1_b88,z,2.0,4.3187091717261807e-07,1.0717421674096287e-06,0.4029615800378912,True,4.3187091717261807e-07,9.225480540589541e-07,1.738021294662098e-06,3.3747011315754264e-06,6.990216877053692e-06
G1_b88,vx,0.002,1.9429150849979917e-06,2.6349749122458143e-06,0.7373561987131129,True,1.9429150849979917e-06,4.403057538611382e-06,9.648031297584094e-06,1.7353411804817732e-05,3.415554108566449e-05
G1_b88,vy,0.002,3.718248276125548e-07,1.0684321885122916e-06,0.34800975823303476,True,3.718248276125548e-07,8.998199352354885e-07,1.5027821216573817e-06,3.0054176497134457e-06,6.290281576915479e-06
G1_b88,vz,0.002,1.8439688737831876e-07,3.567404153966654e-07,0.5168937395929332,True,1.8439688737831876e-07,3.279507462116045e-07,7.195675247639975e-07,1.2629721129949559e-06,2.6837204430965837e-06
G1_b88,K,0.002,0.00021770323231323386,0.00022484284774353875,0.9682461972797618,True,0.00021770323231323386,0.0004425460800567726,0.0008317698332934867,0.0017336604718614069,0.00044411091502498075
G2_alt30_b20_fixD,x,2.0,2.360284361218057e-06,9.609339800504322e-08,24.56239877264184,False,2.4324859724244753e-06,2.360284361218057e-06,2.556049662739832e-06,2.7417109486991925e-06,3.2443857229292984e-06
G2_alt30_b20_fixD,y,2.0,5.775937653561253e-07,8.458835134949133e-07,0.6828289665673909,True,5.783397580166489e-07,5.775937653561253e-07,1.539441857582065e-06,2.87594300488432e-06,6.9766696273400605e-06
G2_alt30_b20_fixD,z,2.0,1.2705594685492581e-05,2.443218691376068e-06,5.2003509674922075,True,1.2705594685492581e-05,1.3892531290675938e-05,1.0313735716644988e-05,1.9583452573430228e-05,2.1944424298957994e-05
G2_alt30_b20_fixD,vx,0.0005,2.8139281141221332e-05,7.929072971144243e-06,3.5488740289850753,True,2.638533407878685e-05,1.7954417642627524e-05,3.338845037948272e-05,2.8139281141221332e-05,3.630192370376362e-05
G2_alt30_b20_fixD,vy,0.002,2.3101372096988474e-06,4.1027888473109353e-07,5.630650992953162,True,2.3101372096988474e-06,2.714637518588658e-06,2.272576466730508e-06,2.4796421010431492e-06,2.385388856433949e-06
G2_alt30_b20_fixD,vz,0.002,2.3895699075798882e-06,1.0963607635779098e-07,21.79547086108468,False,2.3895699075798882e-06,2.409494256375643e-06,2.323746535380301e-06,2.3375162424014507e-06,1.942784641128491e-06
G2_alt30_b20_fixD,K,0.002,2.8784485168629953e-05,1.352043025883634e-05,2.1289622162591844,True,2.8784485168629953e-05,3.149586749626791e-05,2.4339971361448137e-05,5.43833787933619e-05,0.00019379853961957875
G2_alt1000_b20_fixD,x,2.0,3.0251656449863933e-06,2.9336633912905187e-07,10.311904405827633,False,3.2696549634932336e-06,3.0251656449863933e-06,5.0064566747121595e-06,3.018860646339414e-06,1.3310339410698963e-05
G2_alt1000_b20_fixD,y,2.0,6.44966724447722e-07,3.153716344492785e-06,0.20451006177965333,True,6.44966724447722e-07,3.5338478787964754e-06,1.5170568386077395e-05,4.099854177303313e-06,7.517135502745416e-05
G2_alt1000_b20_fixD,z,2.0,5.772191854433205e-06,1.507796367584653e-05,0.3828230375484794,True,5.772191854433205e-06,2.0465004766769185e-05,3.951793605104871e-06,2.572799461307746e-05,0.00017081297392398134
G2_alt1000_b20_fixD,vx,0.001,1.9636215919227186e-05,7.981588142150293e-06,2.4601890713365044,True,8.842903910852116e-06,1.9636215919227186e-05,2.76136062666622e-05,3.0531905246774794e-05,1.5820866164120175e-05
G2_alt1000_b20_fixD,vy,0.001,3.503488224369812e-06,1.2454269669458077e-06,2.813082033193408,True,2.7269861970183265e-06,4.595746262843479e-06,3.503488224369812e-06,1.7619934636089548e-06,1.1538944707139623e-05
G2_alt1000_b20_fixD,vz,0.001,2.6172219989192176e-06,2.2063579336325064e-07,11.862182282501518,False,3.2293629736682296e-06,2.6480681680884487e-06,2.6172219989192176e-06,3.694267405744872e-06,2.1025879005243678e-06
G2_alt1000_b20_fixD,K,0.002,8.43935495471913e-06,1.9004954283216297e-05,0.444060786937652,True,8.43935495471913e-06,1.2339057007570465e-05,8.669743790517809e-05,5.3336514063383074e-05,4.315736687087015e-05
G3_i26.7_b00,x,2.0,2.405009665628542e-06,1.082759770259453e-07,22.21184912561213,False,2.513285642654487e-06,2.405009665628542e-06,2.5950707981168034e-06,1.657226896353136e-06,2.9936945892647495e-06
G3_i26.7_b00,y,2.0,3.8430167136464795e-06,6.280976946071769e-07,6.118501543060062,True,4.1463499834830165e-06,3.8430167136464795e-06,6.13450174121597e-06,1.0700008333484062e-05,2.897435196476069e-06
G3_i26.7_b00,z,1.0,4.123312253892908e-06,1.6626701404100403e-06,2.479934025203601,True,1.4653308259644354e-06,5.421528910803326e-06,4.123312253892908e-06,8.303002227177932e-06,5.318193205101999e-06
G3_i26.7_b00,vx,0.002,8.420807273889252e-07,8.84722126162523e-07,0.9518024953681732,True,8.420807273889252e-07,1.6337229326567452e-06,6.549852662131881e-06,1.8098405147806866e-06,2.8075607527752642e-06
G3_i26.7_b00,vy,0.002,2.442872334734424e-06,6.925246665069047e-08,35.27487832391986,False,2.4638856161719686e-06,2.442872334734424e-06,2.3582710364250055e-06,3.0500648061862565e-06,3.110339947192726e-06
G3_i26.7_b00,vz,0.001,2.570331515588013e-06,2.0393232789512236e-06,1.2603845315343405,True,1.4919130855163568e-06,3.843444859169992e-06,2.570331515588013e-06,3.972326381514597e-06,1.1401724793076746e-05
G3_i26.7_b00,K,0.002,5.889318887950668e-06,3.9719807094783005e-05,0.14827158837647528,True,5.889318887950668e-06,4.181699748130535e-05,7.534940180304154e-06,0.00022500175713835642,0.0003701701510982712
