case,arcs,model_a_conditional_k,model_b_conditional_k,gain_b_over_a,model_a_f_perp,model_b_f_perp,model_a_weak_k,model_b_weak_k,model_a_rank_full,model_b_rank_full
M1,2,0.0026285628927907173,3478.5953370239395,1323382.9582562326,0.007982595470323511,0.19931541287438365,0.9999999997856696,0.9999999923244872,False,False
M2,3,0.00400645999867541,36587.60475458649,9132152.76495531,0.008038314440319714,0.3002827908000953,0.9999999996833852,0.9999999969904164,False,False
M3,5,0.006477954837408317,49026.504043072375,7568207.13845649,0.007973583510065921,0.2899654951022291,0.9999999994656547,0.9999999984876685,False,False
