case,model,arcs,elapsed_orbits,observation_orbits,elapsed_s,observations,unknowns,rank,smallest_scaled_singular_value,scaled_condition,weakest_mode_k_component,raw_i_kk,conditional_k_information,orthogonal_fraction
M1,A_independent_arcs,2,2.5,1.0,17668.649,118,13,12,2.628565496870755e-07,4.08843962012463e+20,0.9999999997856696,41.25056892910793,0.0026285628927907173,0.007982595470323511
M1,B_continuity_linked,2,2.5,1.0,17668.649,118,7,6,0.34785952645888024,1.9908039623619116e+16,0.9999999923244872,87563.30442228763,3478.5953370239395,0.19931541287438365
M2,A_independent_arcs,3,5.5,1.5,38871.029,177,19,18,4.0064565370435786e-07,2.6953416686239013e+20,0.9999999996833852,62.005583029690406,0.00400645999867541,0.008038314440319714
M2,B_continuity_linked,3,5.5,1.5,38871.029,177,7,6,3.6587604510792384,9534563497766052.0,0.9999999969904164,405763.6067446292,36587.60475458649,0.3002827908000953
M3,A_independent_arcs,5,5.5,2.5,38871.029,295,31,30,6.4779626748397e-07,1.6670008442262897e+20,0.9999999994656547,101.88978424276127,0.006477954837408317,0.007973583510065921
M3,B_continuity_linked,5,5.5,2.5,38871.029,295,7,6,4.902650389732062,1.0058732847250514e+16,0.9999999984876685,583093.6111220836,49026.504043072375,0.2899654951022291
