case,prior,prior_sigma_k,sigma_k,k_variance,sigma_pos_x,sigma_vel_x,covariance_min_eigenvalue,covariance_condition,corr_k_x,corr_k_y,corr_k_z,corr_k_vx,corr_k_vy,corr_k_vz
G0,data_only,,0.9040175567875425,0.8172477429801176,1066.4288556609674,0.7777591585121595,2.1248040681088233e-09,5264950590840778.0,-0.4471534637144358,0.44167640116458023,-0.44177600219576296,0.4566739723365761,0.44003926092401896,-0.4421356045088092
G0,broad_k_sigma_1.0,1.0,0.67060964578156,0.44971729701526947,1017.3534127815523,0.7403887104101742,2.124805320967503e-09,4801726846480908.0,-0.34770390776248317,0.3430326218199827,-0.3431174198539292,0.35586439411832066,0.3416395873745671,-0.3434236229599095
G0,moderate_k_sigma_0.01,0.01,0.009999388246558948,9.998776530542124e-05,953.8896091588183,0.6919322447034651,2.1248050039276648e-09,4235049940178633.0,-0.005529513658676218,0.005445245136909375,-0.005446770755688489,0.005677856217575081,0.005420204316484822,-0.0054522809751671114
G1,data_only,,0.019394564345072467,0.00037614912613515624,119.22702701606592,0.08613733655327026,4.771132774771719e-10,296486659032941.7,-0.5399456940169993,0.5477606342163278,-0.5420384404662739,0.5420729376127659,0.5329994132043622,-0.5411348152418536
G1,broad_k_sigma_1.0,1.0,0.019390917749572925,0.0003760076911707023,119.22049189685474,0.08613257788292353,4.771132847988522e-10,296453834047565.0,-0.5398737643814465,0.5476885388602772,-0.5419664627832982,0.5420009591601773,0.5329276621140429,-0.5410628579773128
G1,moderate_k_sigma_0.01,0.01,0.008888091825819507,7.899817630419956e-05,104.60006956489248,0.07548055774956669,4.771132891722458e-10,227532141653272.78,-0.2820468980160187,0.28738551453446654,-0.2834696547280381,0.2834931493336636,0.2773596190284514,-0.2828547145316938
G3,data_only,,0.005329810001976547,2.840687465716924e-05,31.584864497450017,0.022333932240658272,4.8847043161256066e-11,203544130000405.5,-0.47213053990825143,0.4883052242254819,-0.4723514443379315,0.4661109211096984,0.46966240589660574,-0.47577750826394904
G3,broad_k_sigma_1.0,1.0,0.005329734301967007,2.8406067729563744e-05,31.584764500900214,0.022333863323788377,4.8847042577296784e-11,203542830624584.97,-0.4721253289064658,0.4882999424398259,-0.47234623229770223,0.46610573915798786,0.4696572066305063,-0.47577228037027525
G3,moderate_k_sigma_0.01,0.01,0.004703461458807384,2.212254969448649e-05,30.796250888502527,0.021790601856542087,4.8847042975616044e-11,193405755855504.44,-0.4273159710587108,0.44275635086270626,-0.42752628574809914,0.4215907848030589,0.42496719391823395,-0.4307900777273802
