case,arc_orbits,observations,elapsed_s,k_column_norm,projected_norm,orthogonal_norm,orthogonal_fraction,raw_i_kk,conditional_k_information,smallest_scaled_singular_value,scaled_condition,rank,weakest_mode_k_component
G0,1.3,82,9180.0,124.50069914698169,124.49578494440405,1.1061732070266697,0.008884875463396039,15500.424088087248,1.2236191639436673,0.00012236191490471468,6.791689298722062e+18,6,0.9999999998485365
G1,2.0,144,14160.0,229.53759916690504,223.67161054623384,51.56083850133423,0.22462916179515535,52687.50943130677,2658.5200669606706,0.26585200379147694,1.3903638120770826e+16,6,0.9999999937608572
G2,3.0,215,21180.0,397.3241389135471,385.37145536025724,96.72286573974668,0.2434356644029433,157866.47136339164,9355.312756909063,0.9355312627911174,1.2304063806350576e+16,6,0.9999999945081441
G3,5.0,307,35340.0,697.3727225602062,671.6591158705551,187.6239490017695,0.26904400320242144,486328.7141710343,35202.7462390186,3.520274594981941,1.0345103454459824e+16,6,0.999999995543725
