id,stage,beta_mid_deg,earth_view_mid_deg,inc_deg,alt_mean_km,period_s,revolutions,duration_h,eclipse_fraction,n_eclipses,mean_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,n_passes,n_obs,f_perp,theta_k_deg,conditional_k_information,k_column_norm,sigma_k_frac,max_abs_k_state_correlation,weakest_mode_k_component,smallest_design_sv,matched_n_obs,matched_f_perp,matched_sigma_k_frac,delta_f_perp_full,class_full,class_matched,beta_target,normalization,k_srp,shadow_model,stations,epoch_offset_days
G0_consistent,G0,21.466230888726496,110.82619040430777,26.711475080149885,99.85671641518124,7068.44945145109,14.99789978170564,29.44774902358768,0.38761662425784565,16,2570.625,0.33493331506145596,0.4259388925777978,0.23912779236074622,25,960,0.09150755457311016,5.250341535432847,154974.2393435186,4302.023784934325,0.25402136377136003,0.6458187491531462,0.9999999998796024,3.9366767622729726,782,0.09269366124224986,0.2781930674650618,0.0,MAGNITUDE_ONLY,MAGNITUDE_ONLY,,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G5_k0.0025,G5,21.466229917279513,110.82618781889411,26.711475080149885,99.85681824531883,7068.44945145109,14.99789978170564,29.44774902358768,0.38761662425784565,16,2570.625,0.3349333489349738,0.42593886785058255,0.23912778321444372,25,960,0.0915052774628014,5.250210516932817,154966.13964714282,4302.018414410091,1.0161120088737237,0.6458392876394807,0.9999999998796019,3.9365738861329653,960,0.0915052774628014,1.0161120088737237,-2.277110308757102e-06,MAGNITUDE_ONLY,MAGNITUDE_ONLY,,,0.0025,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G5_k0.005,G5,21.466230241089296,110.8261886806924,26.711475080149885,99.85678429520127,7068.44945145109,14.99789978170564,29.44774902358768,0.38761662425784565,16,2570.625,0.334933337641098,0.4259388760957063,0.23912778626319572,25,960,0.09150604606972758,5.25025474040288,154968.84975445044,4302.01989671134,0.5080515619559715,0.6458324229448611,0.9999999998796022,3.936608308139652,960,0.09150604606972758,0.5080515619559715,-1.5085033825829042e-06,MAGNITUDE_ONLY,MAGNITUDE_ONLY,,,0.005,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G5_k0.02,G5,21.46623218406186,110.82619385159549,26.711475080149885,99.85658063153596,7068.44945145109,14.99789978170564,29.44774902358768,0.38761662425784565,16,2570.625,0.3349332699168073,0.4259389255237866,0.23912780455940602,25,960,0.09151057965189491,5.25051558997043,154985.10761701057,4302.032414159326,0.12700622851900342,0.6457911530722923,0.9999999998796028,3.9368147985355573,960,0.09151057965189491,0.12700622851900342,3.025078784746338e-06,MAGNITUDE_ONLY,MAGNITUDE_ONLY,,,0.02,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G5_k0.04,G5,21.466234774982397,110.8262007464139,26.711475080149885,99.85630905921752,7068.44945145109,14.99789978170564,29.44774902358768,0.38761662425784565,16,2570.625,0.3349331796992517,0.4259389913331582,0.23912782896759005,25,960,0.09151661861778901,5.250863055253346,155006.7391058243,4302.048723246755,0.06349868311398721,0.6457362331737956,0.9999999998796034,3.937089522331086,960,0.09151661861778901,0.06349868311398721,9.064044678847027e-06,MAGNITUDE_ONLY,MAGNITUDE_ONLY,,,0.04,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
