control,weak_singular_value,rank_margin,qr_rank,exact_sigma_k,qr_sigma_k,floored_sigma_k,qr_relative_error,floored_relative_error,qr_retained_direction,floored_understates_by
weak_but_full_rank,0.001,643371375338.6512,7,150.99735983228217,150.99735983228263,150.99735981320958,3.011624517088029e-15,1.2631073209772134e-10,True,1.0000000001263107
weak_but_full_rank,1e-05,6433713753.387834,7,15099.154750600275,15099.154750611724,15099.133800668476,7.582357751159859e-13,1.3874903691587655e-06,True,1.0000013874922944
weak_but_full_rank,1e-07,64337137.52724159,7,1509915.469109403,1509915.4694044897,1509915.4692490634,1.954326383405041e-10,9.249553213716159e-11,True,0.9999999999075044
weak_but_full_rank,1e-09,643371.4079008171,7,150991544.56623292,150991539.282897,1509915.4692490671,3.499093899149437e-08,0.9899999998437877,True,99.99999843787693
E2a,0.0,nan,6,inf,inf,7517651.576340992,nan,nan,False,nan
E2b,0.0,nan,6,7871353644188299.0,inf,1652882.942531762,nan,nan,False,nan
