component,analytic,best_fd,relative_error
x,1.8205872676541564e-09,1.8205976592966523e-09,5.707851900607481e-06
y,3.6244431002094386e-10,3.6244359809719146e-10,1.9642293525321835e-06
z,-5.658424461274598e-10,-5.658427696767868e-10,5.718010892469754e-07
vx,2.4481702477233554e-07,2.4481683347232774e-07,7.813999372646792e-07
vy,1.6729162483178383e-06,1.672907368188703e-06,5.308173164202992e-06
vz,1.4804048490253718e-06,1.4804148795732885e-06,6.775543813828657e-06
