noise_urad,sigma_angle_rad,landmark_observations,range_only_conditional_k,combined_conditional_k,range_only_f_perp,combined_f_perp,range_only_theta_k_deg,combined_theta_k_deg,combined_sigma_k,combined_fractional_sigma_k,combined_rank,combined_weakest_k_component,information_gain_ratio,f_perp_gain
1.0,1e-06,6568,1162817.0907819087,2658847864.284467,0.2522919965229832,0.8757007657422435,14.613182283011557,61.12801981208624,1.9393368774176112e-05,0.001939336877417611,7,0.9999999999975968,2286.5572628422483,0.6234087692192604
3.0,3e-06,6568,1162817.0907819087,297013790.28178227,0.2522919965229832,0.8601082840177846,14.613182283011557,59.3287431880834,5.8024538238693224e-05,0.0058024538238693225,7,0.9999999999975985,255.42606196307486,0.6078162874948014
10.0,9.999999999999999e-06,6568,1162817.0907819087,28346420.232289355,0.2522919965229832,0.7330007364251987,14.613182283011557,47.13854981910896,0.00018782391528735225,0.018782391528735225,7,0.9999999999975993,24.377368080502222,0.4807087399022155
30.0,2.9999999999999997e-05,6568,1162817.0907819087,4661385.776315152,0.2522919965229832,0.45925523642115246,14.613182283011557,27.33905970595148,0.0004631721913779938,0.046317219137799376,6,0.9999999999964223,4.008700777850379,0.20696323989816928
100.0,9.999999999999999e-05,6568,1162817.0907819087,1703405.978049432,0.2522919965229832,0.30251402142586137,14.613182283011557,17.608663825375288,0.0007661978279148782,0.07661978279148782,6,0.9999999999700848,1.4648958908094627,0.05022202490287819
300.0,0.0003,6568,1162817.0907819087,1309341.6088180481,0.2522919965229832,0.2674356041738927,14.613182283011557,15.511727170148564,0.0008739236963438265,0.08739236963438266,6,0.9999999999387479,1.1260082253672523,0.015143607650909552
500.0,0.0005,6568,1162817.0907819087,1271363.638724725,0.2522919965229832,0.26370522990562945,14.613182283011557,15.290031539664698,0.0008868805014902579,0.08868805014902578,6,0.9999999999339555,1.0933479124131438,0.01141323338264627
1000.0,0.001,6568,1162817.0907819087,1254777.821302945,0.2522919965229832,0.262053639397782,14.613182283011557,15.191952802371711,0.0008927227103540357,0.08927227103540357,6,0.9999999999307838,1.0790844331838978,0.009761642874798804
