weak_singular_value,exact_sigma_k,qr_sigma_k,floored_sigma_k,default_pinv_sigma_k,pinv_relative_error,pinv_discarded_direction
0.001,150.99735983228217,150.99735983228263,150.99735981320958,150.9973598132096,1.26310543871189e-10,False
1e-05,15099.154750600275,15099.154750611724,15099.133800668476,15099.133800668476,1.3874903691587655e-06,False
1e-07,1509915.469109403,1509915.4694044897,1509915.4692490634,1517672.0957482695,0.005137126413733349,False
1e-09,150991544.56623292,150991539.282897,1509915.4692490671,1.3249277571860758,0.9999999912251527,True
