candidate,perturbation,noise,n_obs,range_only_f_perp,combined_f_perp,combined_fractional_sigma_k
ddor,window_shift_2orbits,2.0,143,0.25378967167813027,0.42822900408234515,0.028284981330114024
ddor,window_shift_2orbits,10.0,143,0.25378967167813027,0.3060112935831784,0.0781270982527305
landmark,16_landmarks_vs_8,10.0,13100,0.2522919965229832,0.9299308087933492,0.008986605645850756
landmark,16_landmarks_vs_8,30.0,13100,0.2522919965229832,0.6897858772699628,0.025568493568715434
