id,stage,n_obs,f_perp_full,matched_n_obs,f_perp_matched,sigma_k_frac_full,sigma_k_frac_matched,class_full,class_matched
G3_i45.0_bcan,G3,960,0.15558869595792532,950,0.15564413032121968,0.27959562120855025,0.28015488724657256,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i60.0_b00,G3,954,0.07659416757539847,950,0.07665752311424319,0.36204643451267965,0.36292135226584293,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i60.0_bcan,G3,959,0.13480379626881542,950,0.1349038180396552,0.29876481011670597,0.29944769039903635,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i90.0_b00,G3,955,0.07841831335514571,950,0.07806445456259872,0.3622488681571655,0.3640759279074248,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i90.0_bcan,G3,957,0.1057076789117568,950,0.1056000389624401,0.380526989369249,0.38229690471935934,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i120.0_b00,G3,955,0.09795555303210074,950,0.09764118462238419,0.28617365689305974,0.28750785615789787,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i120.0_bcan,G3,955,0.11362693676542097,950,0.1139313345753754,0.38304241372849396,0.38448618377847055,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i150.0_b00,G3,952,0.10947021208766938,950,0.10950683732126479,0.2510740507065272,0.2512168647808941,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i150.0_bcan,G3,956,0.25017726490566217,950,0.24967048107806492,0.3056096786430721,0.3078192694077053,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G4_b20_root2,G4,988,0.08213923672101374,252,0.0820756927294433,0.41309279577693103,0.8182181060181046,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G4_b80_root2,G4,1571,0.21990320004894248,252,0.22183930589945072,2.7139256923599757,6.775224690658193,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G4_quarter_b00,G4,1573,0.13867161553710353,252,0.13948602995510187,0.7887906587883643,1.960687147461836,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G4_quarter_b20,G4,1562,0.18212196979952738,252,0.18151799963429535,0.8331086386672044,2.074971970530347,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G4_quarter_b80,G4,948,0.11236725266486934,252,0.11589951429290529,1.4401788279545202,2.689087132460338,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G4_net_Goldstone,G4,377,0.08673308027787505,252,0.08456588767031986,0.3815658756535809,0.47934435794764185,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G4_net_Madrid,G4,252,0.03255873293348903,252,0.03255873293348903,1.4413364609287505,1.4413364609287505,MARGINAL_DIRECTION_CHANGE_LOSS,MARGINAL_DIRECTION_CHANGE_LOSS
G4_net_Canberra,G4,331,0.10538913054471734,252,0.10599311784581825,0.43147343347712486,0.48920059883161454,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G5_k0.0025,G5,960,0.0915052774628014,960,0.0915052774628014,1.0161120088737237,1.0161120088737237,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G5_k0.005,G5,960,0.09150604606972758,960,0.09150604606972758,0.5080515619559715,0.5080515619559715,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G5_k0.02,G5,960,0.09151057965189491,960,0.09151057965189491,0.12700622851900342,0.12700622851900342,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G5_k0.04,G5,960,0.09151661861778901,960,0.09151661861778901,0.06349868311398721,0.06349868311398721,MAGNITUDE_ONLY,MAGNITUDE_ONLY
CF_noshadow_G0_consistent,CF,960,0.11301688307456735,955,0.11236950983601057,0.1761267369325929,0.17725915509185472,MARGINAL_DIRECTION_CHANGE_GAIN,
CF_noshadow_G1_b00,CF,955,0.08467299232794973,955,0.08467299232794973,0.23170064426965548,0.23170064426965548,MAGNITUDE_ONLY,
CF_noshadow_G1_b20,CF,956,0.10319792767721525,955,0.10328223225720425,0.24408830343769558,0.24409462960442413,MAGNITUDE_ONLY,
