case,arc_orbits,observations,sigma_k_estimator,sigma_k_direct,sigma_k_svd,sigma_k_schur,sigma_k_full_posterior,direct_over_estimator,schur_over_estimator
G0,1.3,82,0.0034688695056067746,0.9040175462703547,5.542584599810863e-10,0.9040175567874609,0.8953153197889191,260.6086924887721,260.60869552062616
G1,2.0,144,0.0016448102376950184,0.01939456436418952,3.7495863432061907e-10,0.019394564345072144,0.01939072203984716,11.791368949264571,11.791368937641726
