case,arc_orbits,rank,smallest_scaled_singular_value,scaled_condition,weakest_k_component,conditional_k_information,sigma_k,k_estimate,correct_holdout_rms_m,wrong_holdout_rms_m,solve_holdout_rms_m,correct_holdout_final_m,wrong_holdout_final_m,solve_holdout_final_m
G0,1.3,6,0.00012236191490471468,6.791689298722062e+18,0.9999999998485365,1.5212283447235677,0.0034688484157318253,0.011995881747143836,3.120777063459657,3.218141532989863,3.1779618652466533,4.106349695157755,3.973215030501917,4.089659587043767
G1,2.0,6,0.26585200379147694,1.3903638120770826e+16,0.9999999937608572,2658.508700783874,0.0016448079813578963,0.011799924331532739,3.1648239879781,3.24902745880859,3.1976088890595102,2.5462973690779505,2.8174624483511668,2.6507150030754407
G2,3.0,6,0.9355312627911174,1.2304063806350576e+16,0.9999999945081441,9355.320954849944,0.0009320606889056392,2.732793424886275e-07,3.5184323555925077,3.0024022316322134,200.03491152458912,2.7713094505885856,2.6273012765139567,228.2911875259435
G3,5.0,6,3.520274594981941,1.0345103454459824e+16,0.999999995543725,35202.68622017384,0.000524013029204094,1.572534061494328e-07,5.930510475355809,6.771410196903785,319.6286696653435,5.764479232441878,8.20935523148189,348.58615283677017
