case,k_scale,conditional_k_information,sigma_k_estimator,sigma_k_direct
G0,0.005,1.2236191964953846,0.001734434753000399,0.9040175462703547
G0,0.01,1.2236191964953846,0.0034688695056067746,0.9040175462703547
G0,0.02,1.2236191964953846,0.006937739008061361,0.9040175462703547
G1,0.005,2658.5200617235037,0.0008224051226958206,0.01939456436418952
G1,0.01,2658.5200617235037,0.0016448102376950184,0.01939456436418952
G1,0.02,2658.5200617235037,0.00328962041381704,0.01939456436418952
