noise_nrad,f_perp,fractional_sigma_k,conditional_k_info
1.0,0.07380945463441368,0.07821252039832173,1634735.2877334259
2.0,0.12638694386392937,0.08400193438681265,1417168.2890617922
3.0,0.1657353492362385,0.08569036957926092,1361870.9878620722
5.0,0.21214606395122457,0.08672713853687615,1329504.969035819
10.0,0.2493260215339793,0.08734323105020933,1310815.272900129
30.0,0.26356752123686544,0.08801681044098615,1290829.0986182252
100.0,0.26413953698489906,0.0885074147612191,1276558.4038187424
