case,arcs,sum_of_per_arc,global_model_a,relative_difference,passes
M1,2,0.00262856175898405,0.0026285628927907173,4.3134107981334893e-07,True
M2,3,0.004006459685261202,0.00400645999867541,7.822722113838962e-08,True
M3,5,0.006477952166099397,0.006477954837408317,4.123693494639812e-07,True
