case,model,arcs,window_orbits,elapsed_orbits,observations,unknowns,conditional_k_information,sigma_k_data_only,sigma_k_over_k_truth,orthogonal_fraction,weakest_mode_k_component,rank
F2,A_independent_arcs,2,2.0,4.5,242,13,2754.0867579370506,0.01905509820973567,1.9055098209735668,0.20556487978197968,0.999999993758399,12
F2,B_continuity_linked,2,2.0,4.5,244,7,40318.79497406663,0.004980193626533598,0.49801936265335983,0.27724621820029155,0.9999999989298323,6
F3,A_independent_arcs,3,2.0,7.0,386,19,5536.431118807279,0.013439559968175719,1.3439559968175718,0.25734693287785443,0.9999999873568716,18
F3,B_continuity_linked,3,2.0,7.0,388,7,158043.26470804084,0.002515428654230492,0.2515428654230492,0.27925628312897327,0.9999999992403306,6
