case,arc_orbits,stations,measurements,observations,rank,smallest_scaled_singular_value,scaled_condition,weakest_k_component,raw_i_kk,conditional_k_information
G0,1.3,Canberra DSN,two-way range,82,6,0.00012236191490471468,6.791689298722062e+18,0.9999999998485365,15500.424088087244,1.5212283447235677
G1,2.0,Canberra DSN,two-way range,144,6,0.26585200379147694,1.3903638120770826e+16,0.9999999937608572,52687.50943130678,2658.508700783874
G2,3.0,Canberra DSN,two-way range,215,6,0.9355312627911174,1.2304063806350576e+16,0.9999999945081441,157866.47136339173,9355.320954849944
G3,5.0,Canberra DSN,two-way range,307,6,3.520274594981941,1.0345103454459824e+16,0.999999995543725,486328.7141710344,35202.68622017384
G4,2.0,"Goldstone DSN;Madrid DSN;Canberra DSN",two-way range,144,6,0.26585200379147694,1.3903638120770826e+16,0.9999999937608572,52687.50943130678,2658.508700783874
G5,3.0,"Goldstone DSN;Madrid DSN;Canberra DSN",two-way range,215,6,0.9355312627911174,1.2304063806350576e+16,0.9999999945081441,0.9999999945081441,157866.47136339173,9355.320954849944
G6,2.0,Canberra DSN,four-event counted Doppler,57,6,0.0247528052,3.817235916671105e+17,0.999999999999999,34310.25033947553,247.5280534075864
G7,2.0,Canberra DSN,range + four-event counted Doppler,117,6,0.0260780875,3.669735485316046e+17,0.999999999999999,34310.25033947553,260.78087551972567
