case,arc_orbits,stations,observations,rank,scaled_condition,weakest_k_component,conditional_k_information,i_kk_raw
G0,1.3,Canberra DSN,82,6,6.791689298722062e+18,0.9999999998485365,1.5212283447235677,15500.424088087244
G1,2.0,Canberra DSN,144,6,1.3903638120770826e+16,0.9999999937608572,2658.508700783874,52687.50943130678
G2,3.0,Canberra DSN,215,6,1.2304063806350576e+16,0.9999999945081441,9355.320954849944,157866.47136339173
G3,5.0,Canberra DSN,307,6,1.0345103454459824e+16,0.999999995543725,35202.68622017384,486328.7141710344
G4,2.0,"Goldstone DSN,Madrid DSN,Canberra DSN",144,6,1.3903638120770826e+16,0.9999999937608572,2658.508700783874,52687.50943130678
G5,3.0,"Goldstone DSN,Madrid DSN,Canberra DSN",215,6,1.2304063806350576e+16,0.9999999945081441,9355.320954849944,157866.47136339173
