case,n_obs,raw_i_kk,conditional_k_information,orthogonal_fraction,theta_k_deg,smallest_scaled_singular_value,scaled_condition,rank,weakest_mode_k_component,qualified_sigma_k,fractional_sigma_k,rank_margin
G1_continuity,144,52687.50943130677,2658.5200669606706,0.22462916179515535,12.981072508043274,0.26585200379147694,1.3903638120770826e+16,6,0.9999999937608572,0.019394564345071103,1.9394564345071104,5456290.772861988
O0_range_W15,782,18268566.025090486,1162817.0907819087,0.2522919965229832,14.613182283011557,116.28170840871176,9325336632734080.0,6,0.9999999967347587,0.0009273513250655349,0.09273513250655349,6662381.157463631
