case,prior,prior_sigma_k,qr_sigma_k,exact_sigma_k,floored_sigma_k,qr_matches_exact
G0,data_only,,0.9040175567876826,0.9040175567875425,0.0034688695056067755,True
G0,broad_k_sigma_1.0,1.0,0.6706096457816172,0.67060964578156,0.0034688695056067755,True
G0,moderate_k_sigma_0.01,0.01,0.009999388246558948,0.009999388246558948,0.0034688695056067638,True
G1,data_only,,0.019394564345071103,0.019394564345072467,0.0016448102376950182,True
G1,broad_k_sigma_1.0,1.0,0.019390917749571558,0.019390917749572925,0.0016448102376950182,True
G1,moderate_k_sigma_0.01,0.01,0.008888091825819375,0.008888091825819507,0.0016448102376950167,True
G3,data_only,,0.005329810001976447,0.005329810001976547,0.0005240157111492812,True
G3,broad_k_sigma_1.0,1.0,0.005329734301966907,0.005329734301967007,0.0005240157111492812,True
G3,moderate_k_sigma_0.01,0.01,0.004703461458807314,0.004703461458807384,0.0005240157111492812,True
