case,arcs,contiguous_orbits,observations,contiguous_conditional_k,linked_conditional_k,linked_over_contiguous,contiguous_f_perp,linked_f_perp,contiguous_weak_k
M1,2,1.0,72,0.5337495563358345,3478.5953370239395,6517.28005340994,0.007656934598149415,0.19931541287438365,0.9999999999801303
M2,3,1.5,85,336.47572331162365,36587.60475458649,108.73772524950112,0.14712785621087623,0.3002827908000953,0.999999905052401
M3,5,2.5,156,4793.520009628462,49026.504043072375,10.22766233260646,0.24672984849296306,0.2899654951022291,0.9999999967284265
