id,stage,beta_mid_deg,earth_view_mid_deg,inc_deg,alt_mean_km,period_s,revolutions,duration_h,eclipse_fraction,n_eclipses,mean_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,n_passes,n_obs,f_perp,theta_k_deg,conditional_k_information,k_column_norm,sigma_k_frac,max_abs_k_state_correlation,weakest_mode_k_component,smallest_design_sv,matched_n_obs,matched_f_perp,matched_sigma_k_frac,delta_f_perp_full,class_full,class_matched,beta_target,normalization,k_srp,shadow_model,stations,epoch_offset_days
G1_b80,G1,79.40482715914112,157.11021636683063,90.0,99.92125291059861,7068.449451451084,14.997899781705652,29.44774902358768,0.0,0,0.0,0.0962301018871473,0.09609470840106854,0.8076751897117841,18,1339,0.11416101724261833,6.555236185447769,2485.264228510105,436.6851811934251,2.0059204944057236,0.4654877343202837,0.9999999999970249,0.4985242449967022,955,0.1141272865437677,2.3733146910700715,0.02265346266950817,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,80,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G1_b88,G1,87.40482554364975,164.97179523808092,90.0,99.92122452632005,7068.449451451084,14.997899781705652,29.44774902358768,0.0,0,0.0,0.02729468876055433,0.027255423956742117,0.9454498872827035,10,1511,0.1394494024468479,8.015986802133623,172.60115889071324,94.21177713757963,7.611638363105957,0.5184941589418067,0.9999999999997069,0.13137776025287318,955,0.13965635565341128,9.561277269290288,0.04794184787373773,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,88,,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt30_b20_fixD,G2,19.404831361755306,97.33434072708185,90.0,29.73840280440983,6667.454377773838,15.899905792877943,29.44774902358768,0.4410517387616624,16,2925.0,0.3583284737061267,0.4222832943898336,0.21938823190403972,25,866,0.1019423793909427,5.851032323540949,36188.42330394653,1866.0791687075514,0.525672392500094,0.5339223482908763,0.9999999999775073,1.9023255058564417,784,0.1018156246619931,0.5533063610587226,0.010434824817832533,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt30_b20_fixN,G2,19.438181399706956,97.77309947991264,90.0,29.73983926658952,6667.454377773838,14.999999999999993,27.78105990739098,0.4379496402877698,15,2922.0,0.36068706479367385,0.41955544588289956,0.21975748932342654,23,784,0.10333098575372138,5.931016015214548,28114.86092444161,1622.696865626963,0.5963923035412825,0.5240139330930562,0.9999999999771289,1.6767486670087595,784,0.10333098575372138,0.5963923035412825,0.011823431180611216,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_REVOLUTIONS,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt30_b85_fixD,G2,84.40483007779484,162.03752082415232,90.0,29.73832117956087,6667.454377773834,15.899905792877954,29.44774902358768,0.0,0,0.0,0.05529297284290375,0.05562338319040956,0.8890836439666867,25,1134,0.10367587771941553,5.950883576091116,283.99247231387204,162.54577798207706,5.933986934432548,0.6204650180466997,0.9999999999988393,0.16852076201857472,784,0.1036238072652389,7.117549266167377,0.012168323146305365,MAGNITUDE_ONLY,MAGNITUDE_ONLY,85.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt50_b20_fixD,G2,19.40483105496302,97.33434040496736,90.0,49.74159200804405,6780.94789272717,15.63378721706703,29.44774902358768,0.4257845631891433,16,2823.75,0.353452590507009,0.42680162241746805,0.21974578707552295,24,901,0.1055354317670922,6.058015942654509,44634.2010110153,2001.8687089724758,0.4733322738101663,0.4832467029177525,0.9999999999827976,2.1126807853881013,784,0.10533408780902472,0.5084651803773294,0.014027877193982033,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt50_b20_fixN,G2,19.429085804536857,97.65346265148335,90.0,49.74277171293383,6780.94789272717,15.000000000000004,28.253949553029884,0.41998231653404067,15,2850.0,0.3535407568639452,0.42651299986989905,0.21994624326615567,22,837,0.10392114445648325,5.965012645365845,37891.534358136196,1873.1267886091662,0.513722874731157,0.47946768738264334,0.9999999999851046,1.9465747958146258,784,0.1039723708050245,0.5298442747005809,0.012413589883373086,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_REVOLUTIONS,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt50_b85_fixD,G2,84.40482915413332,162.03751971387427,90.0,49.74155901094434,6780.947892727167,15.633787217067038,29.44774902358768,0.0,0,0.0,0.05566798519747714,0.05523768282432596,0.8890943319781969,21,1275,0.11206246822469398,6.434221521350648,346.4899150987564,166.10592175718577,5.372231273612247,0.625204452866639,0.9999999999986394,0.1861423957882303,784,0.1116056794935591,6.874952390268452,0.020554913651583823,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,85.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt100_b20_fixD,G2,19.40483057924385,97.33433993973239,90.0,99.92134529214248,7068.449451451084,14.997899781705652,29.44774902358768,0.38761662425784565,15,2742.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,22,956,0.10563837829087859,6.063947500927083,70547.04268472051,2514.3033902231577,0.3764961968164219,0.4786319554011142,0.9999999999690675,2.6560693266621866,784,0.10535076446273275,0.41676460402788423,0.014130823717768429,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt100_b20_fixN,G2,19.40483057924385,97.33433993973239,90.0,99.92134529214248,7068.449451451084,15.000000000000012,29.45187271437954,0.38761662425784565,15,2742.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,22,956,0.10563837829087859,6.063947500927083,70547.04268472051,2514.3033902231577,0.3764961968164219,0.4786319554011142,0.9999999999690675,2.6560693266621866,784,0.10535076446273275,0.41676460402788423,0.014130823717768429,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_REVOLUTIONS,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt100_b85_fixD,G2,84.40482651644216,162.03751742337303,90.0,99.92123521617694,7068.449451451087,14.997899781705645,29.44774902358768,0.0,0,0.0,0.055479558892967504,0.05540099626365479,0.8891194448433777,13,1452,0.10575913130660218,6.07090511427863,460.080668255706,202.81455445498418,4.662115271397003,0.5464696580047069,0.9999999999991473,0.21449491095476442,784,0.10563730795764913,6.346930465020062,0.014251576733492019,MAGNITUDE_ONLY,MAGNITUDE_ONLY,85.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt200_b20_fixD,G2,19.404831335688463,97.33434066492278,90.0,199.76075778372171,7652.2071796071505,13.853767154584293,29.44774902358768,0.35453774385072095,14,2687.1428571428573,0.3352809279394745,0.4453764911278547,0.21934258093267076,21,1037,0.10820632364277422,6.211928292467299,124985.23835113294,3267.2075157086506,0.28285941485318705,0.4575251750550215,0.9999999999624025,3.535325138395814,784,0.10807392419707731,0.32584507892194636,0.016698769069664054,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt200_b20_fixN,G2,19.35530795763681,96.68238621717414,90.0,199.76266538806877,7652.2071796071505,15.000000000000005,31.88419658169647,0.3503134796238245,15,2682.0,0.33873538078923854,0.44247769155539596,0.2187869276553655,23,1126,0.10839941828111917,6.223057261519544,153035.1833542238,3608.8488474531227,0.2556256065789233,0.46858038480784325,0.999999999954213,3.91197115710498,784,0.10830007878093335,0.3064672059119792,0.016891863708009006,MAGNITUDE_ONLY,MAGNITUDE_ONLY,20.0,FIXED_REVOLUTIONS,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt200_b85_fixD,G2,84.40482995264202,162.0375206284264,90.0,199.76063530869087,7652.2071796071505,13.853767154584293,29.44774902358768,0.0,0,0.0,0.055230471985463006,0.05565118791648445,0.8891183400980526,5,1574,0.10515517589510211,6.036106977925641,596.4768716732162,232.2555764196795,4.094521875176722,0.5232262498195787,0.9999999999991738,0.24422875991009652,784,0.10645425209038037,5.712252887044694,0.013647621321991946,MAGNITUDE_ONLY,MAGNITUDE_ONLY,85.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
G2_alt500_b20_fixD,G2,19.404829915883372,97.33433920598296,90.0,499.79661841252897,9496.711118043331,11.163011611830303,29.44774902358768,0.26123833757421544,11,2520.0,0.3398235230830532,0.4431299559257797,0.21704652099116709,20,1110,0.11646853222945266,6.688334988367675,324991.22499622183,4894.71280695013,0.17541397196703223,0.3596497073958372,0.9999999999635462,5.700800162894029,784,0.11653319704823616,0.20852303661853294,0.024960977656342503,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN,20.0,FIXED_DURATION,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,0.0
