mode,n_obs,f_perp,theta_k_deg,conditional_k_information,sigma_k_frac,k_column_norm
PUBLISHED,782,0.2522919965229832,14.613182283011557,1162817.0907819087,0.09273513250655349,4274.174309160833
OFFSET_ONLY,768,0.20666667767140529,11.927082200170153,729048.0216476062,0.11711753742428338,4131.49860061956
CLAMP_ONLY,968,0.08572751954170586,4.917861379244694,123353.98045028113,0.2847235670712773,4096.909080538379
CONSISTENT,960,0.09150755457311016,5.250341535432847,154974.2393435186,0.25402136377136003,4302.023784934325
